rate,burst,lat,backlog,limit,delay,ip,time,id
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,79.50500000000011,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,79.52500000000009,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,79.55000000000018,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,79.57000000000016,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,79.58800000000019,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,79.60300000000007,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,79.63000000000011,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,79.65600000000018,3
300000000.0,14962.0,401.0,1584.0,1000,0.04,10.0.0.9,79.67800000000011,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.69800000000009,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,79.71300000000019,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,79.72900000000004,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,79.74800000000005,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.76700000000005,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,79.79100000000017,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.80600000000004,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.8280000000002,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,79.85100000000011,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,79.86900000000014,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.88800000000015,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.904,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,79.92900000000009,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,79.94500000000016,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.9670000000001,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.98900000000003,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,80.00600000000009,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,80.029,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,80.05400000000009,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,80.07500000000005,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,80.09100000000012,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,80.1070000000002,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,80.13200000000006,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,80.14900000000011,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,80.17000000000007,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,80.18600000000015,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,80.2030000000002,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,80.23400000000015,3
300000000.0,14962.0,401.0,1518.0,1000,0.04,10.0.0.9,80.25400000000013,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,80.27800000000002,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,80.30200000000013,3
300000000.0,14962.0,401.0,2310.0,1000,0.04,10.0.0.9,80.31700000000001,3
300000000.0,14962.0,401.0,2640.0,1000,0.04,10.0.0.9,80.34000000000015,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,80.36300000000006,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,80.38700000000017,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,80.40300000000002,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,80.43000000000006,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,80.45600000000013,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,80.47500000000014,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,80.49200000000019,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,80.50800000000004,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,80.52200000000016,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,80.54100000000017,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,80.56100000000015,3
